Id,SampleInt,SampleDecimal,SampleString,SampleBool
1,0,0.000,0,1
2,1,0.001,1,0
3,2,0.002,2,1
4,3,0.003,3,0
5,4,0.004,4,1
6,5,0.005,5,0
7,6,0.006,6,1
8,7,0.007,7,0
9,8,0.008,8,1
10,9,0.009,9,0
11,10,0.010,10,1
12,11,0.011,11,0
13,12,0.012,12,1
14,13,0.013,13,0
15,14,0.014,14,1
16,15,0.015,15,0
17,16,0.016,16,1
18,17,0.017,17,0
19,18,0.018,18,1
20,19,0.019,19,0
21,20,0.020,20,1
22,21,0.021,21,0
23,22,0.022,22,1
24,23,0.023,23,0
25,24,0.024,24,1
26,25,0.025,25,0
27,26,0.026,26,1
28,27,0.027,27,0
29,28,0.028,28,1
30,29,0.029,29,0
31,30,0.030,30,1
32,31,0.031,31,0
33,32,0.032,32,1
34,33,0.033,33,0
35,34,0.034,34,1
36,35,0.035,35,0
37,36,0.036,36,1
38,37,0.037,37,0
39,38,0.038,38,1
40,39,0.039,39,0
41,40,0.040,40,1
42,41,0.041,41,0
43,42,0.042,42,1
44,43,0.043,43,0
45,44,0.044,44,1
46,45,0.045,45,0
47,46,0.046,46,1
48,47,0.047,47,0
49,48,0.048,48,1
50,49,0.049,49,0
51,50,0.050,50,1
52,51,0.051,51,0
53,52,0.052,52,1
54,53,0.053,53,0
55,54,0.054,54,1
56,55,0.055,55,0
57,56,0.056,56,1
58,57,0.057,57,0
59,58,0.058,58,1
60,59,0.059,59,0
61,60,0.060,60,1
62,61,0.061,61,0
63,62,0.062,62,1
64,63,0.063,63,0
65,64,0.064,64,1
66,65,0.065,65,0
67,66,0.066,66,1
68,67,0.067,67,0
69,68,0.068,68,1
70,69,0.069,69,0
71,70,0.070,70,1
72,71,0.071,71,0
73,72,0.072,72,1
74,73,0.073,73,0
75,74,0.074,74,1
76,75,0.075,75,0
77,76,0.076,76,1
78,77,0.077,77,0
79,78,0.078,78,1
80,79,0.079,79,0
81,80,0.080,80,1
82,81,0.081,81,0
83,82,0.082,82,1
84,83,0.083,83,0
85,84,0.084,84,1
86,85,0.085,85,0
87,86,0.086,86,1
88,87,0.087,87,0
89,88,0.088,88,1
90,89,0.089,89,0
91,90,0.090,90,1
92,91,0.091,91,0
93,92,0.092,92,1
94,93,0.093,93,0
95,94,0.094,94,1
96,95,0.095,95,0
97,96,0.096,96,1
98,97,0.097,97,0
99,98,0.098,98,1
100,99,0.099,99,0
101,100,0.100,100,1
102,101,0.101,101,0
103,102,0.102,102,1
104,103,0.103,103,0
105,104,0.104,104,1
106,105,0.105,105,0
107,106,0.106,106,1
108,107,0.107,107,0
109,108,0.108,108,1
110,109,0.109,109,0
111,110,0.110,110,1
112,111,0.111,111,0
113,112,0.112,112,1
114,113,0.113,113,0
115,114,0.114,114,1
116,115,0.115,115,0
117,116,0.116,116,1
118,117,0.117,117,0
119,118,0.118,118,1
120,119,0.119,119,0
121,120,0.120,120,1
122,121,0.121,121,0
123,122,0.122,122,1
124,123,0.123,123,0
125,124,0.124,124,1
126,125,0.125,125,0
127,126,0.126,126,1
128,127,0.127,127,0
129,128,0.128,128,1
130,129,0.129,129,0
131,130,0.130,130,1
132,131,0.131,131,0
133,132,0.132,132,1
134,133,0.133,133,0
135,134,0.134,134,1
136,135,0.135,135,0
137,136,0.136,136,1
138,137,0.137,137,0
139,138,0.138,138,1
140,139,0.139,139,0
141,140,0.140,140,1
142,141,0.141,141,0
143,142,0.142,142,1
144,143,0.143,143,0
145,144,0.144,144,1
146,145,0.145,145,0
147,146,0.146,146,1
148,147,0.147,147,0
149,148,0.148,148,1
150,149,0.149,149,0
151,150,0.150,150,1
152,151,0.151,151,0
153,152,0.152,152,1
154,153,0.153,153,0
155,154,0.154,154,1
156,155,0.155,155,0
157,156,0.156,156,1
158,157,0.157,157,0
159,158,0.158,158,1
160,159,0.159,159,0
161,160,0.160,160,1
162,161,0.161,161,0
163,162,0.162,162,1
164,163,0.163,163,0
165,164,0.164,164,1
166,165,0.165,165,0
167,166,0.166,166,1
168,167,0.167,167,0
169,168,0.168,168,1
170,169,0.169,169,0
171,170,0.170,170,1
172,171,0.171,171,0
173,172,0.172,172,1
174,173,0.173,173,0
175,174,0.174,174,1
176,175,0.175,175,0
177,176,0.176,176,1
178,177,0.177,177,0
179,178,0.178,178,1
180,179,0.179,179,0
181,180,0.180,180,1
182,181,0.181,181,0
183,182,0.182,182,1
184,183,0.183,183,0
185,184,0.184,184,1
186,185,0.185,185,0
187,186,0.186,186,1
188,187,0.187,187,0
